arddress_street	address_city	address_state	address_zip_code	country_code	school_short_name
77 Massachusetts Avenue	Cambridge	Massachusetts	02139	US	mit
The Old Schools, Trinity Lane	Cambridge		CB2 1TN	GB	cam-ac-uk
Wellington Square	Oxford		OX1 2JD	GB	ox-ac-uk
Massachusetts Hall	Cambridge	Massachusetts	02138	US	harvard
Longwood Avenue	Boston	Massachusetts	02115	US	harvard
450 Jane Stanford Way	Stanford	California	94305	US	stanford
Exhibition Road	London		SW7 2AZ	GB	imperial-ac-uk
Rämistrasse 101	Zürich		CH-8092	CH	ethz-ch
21 Lower Kent Ridge Road	Singapore		119077	SG	nus-edu-sg
405 Hilgard Avenue	Los Angeles	California	90095	US	ucla-edu
University Avenue and, Oxford Street	Berkeley	California	94704	US	berkeley-edu
1101 E 58th Street	Chicago	Illinois	60637	US	uchicago-edu
3451 Walnut Street	Philadelphia	Pennsylvania	19104	US	upenn-edu
616 Thurston Avenue	Ithaca	New York	14853	US	cornell
Grattan Street	Parkville	Victoria	3010	AU	unimelb-edu-au
1200 E California Blvd	Pasadena	California	91125	US	caltech
433 Templte Street	New Haven	Connecticut	06511	US	yale
5 Yiheyuan Road, Haidian District	Beijing		100871	CN	pku-edu-cn
1	Princeton	New Jersey	08544	US	princeton
High Street	Kensington		NSW 2052	AU	unsw-edu-au
27 King's College Cir	Toronto	Ontario	M5S 1A1	CA	utoronto-ca
1130 Amsterdam Avenue	New York	New York	10027	US	columbia
60 Rue Mazarine	Paris		75006	FR	psl-eu
30 Shuangqing Road	Haidian District		100085	CN	tsinghua-edu-cn
50 Nanyang Avenue	Singapore		639798	SG	ntu-edu-sg
Harbour Road	Wanchai		Hong Kong	HK	hku-hk
1101 E 33rd Street	Baltimore	Maryland	21218	US	jhu-edu
7 Chrome-3-1 Hongo	Bunkyō City	Tokyo	113-0033	JP	u-tokyo-ac-jp
845 Sherbrooke Street West	Montreal	Quebec	H3A 0G4	CA	mcgill-ca
Oxford Road	Manchester		M13 9PL	GB	manchester-ac-uk
515 E Jefferson Street	Ann Arbor	Michigan	48109	US	umich-edu
303 E Kearsley Street	Flint	Michigan	48502	US	umich-edu
1109 Geddes Avenue	Ann Arbor	Michigan	48109	US	umich-edu
2329 West Mall	Vancouver	British Columbia	V6T 1Z4	CA	ubc-ca
Chemin du Barrage 16	Lausanne		CH-1015	CH	epfl-ch
Arcisstraße 21	München		80333	DE	tum-de
Route de Saclay,	Palaiseau		91120	FR	ip-paris
72 Lafayette Street	New York	New York	10013	US	nyu-edu
Newcomen Street	London		SE1 1YT	GB	kcl-ac-uk
Stamford Street	London		SE1 9NH	GB	kcl-ac-uk
Wellington Road	Clayton	Victoria	3800	AU	monash-edu-au
900 Dandenong Road	Caulfield East	Victoria	3145	AU	monash-edu-au
381 Royal Parade	Parkville	Victoria	3052	AU	monash-edu-au
Moorooduc Highway	Frankston	Victoria	3199	AU	monash-edu-au
280-284 Sir Fred Schonell Drive	St Lucia		Qld 4067	AU	uq-edu-au
866 Yuhangtang Road	Hangzhou		310058	CN	zju-edu-cn
Houghton Street	London		WC2A 2AE	GB	lse-ac-uk
Yoshidahonmachi, Sakyo Ward	Kyoto		606-8501	JP	kyoto-u-ac-jp
Mekelweg 5	Delft		2628 CD	NL	tudelft-nl
633 Clark Street	Evanston	Illinois	60208	US	northwestern-edu
800 Dongchuan Road, Minhang District	Shanghai		200240	CN	sjtu-edu-cn
5000 Forbes Avenue	Pittsburgh	Pennsylvania	15213	US	cmu-edu
Science Park 904	Amsterdam		1098 XH	NL	uva-nl
Geschwister-Scholl-Platz 1	München		80539	DE	lmu-de
Beacon House, Queen Road	Bristol		BS8 1QU	GB	bristol-ac-uk
146-37 Hwarang-ro, Seongbuk-gu	Seoul		02841	KR	snu-ac-kr
415 Chapel Drive	Durham	North Carolina	27708	US	duke
2138 Campus Drive	Durham	North Carolina	27708	US	duke
12 Pl. du Panthéon	Paris		75005	FR	sorbonne
Clear Water Bay, Kowloon	Kowloon		Hong Kong	HK	hkust
Oude Markt 13	Leuven		3000	BE	kuleuven-be
9500 Gilman Drive	La Jolla	California	92093	US	ucsd-edu
1410 NE Campus Parkway	Seattle	Washington	98195	US	washington-edu
18115 Campus Way NE	Bothell	Washington	98011	US	washington-edu
1900 Commerce Street	Tacoma	Washington	98402	US	washington-edu
601 East John Street	Champaign	Illinois	61820	US	illinois-edu
11 Yuk Choi Road	Kowloon		Hong Kong	HK	polyu-edu-hk
Universiti Malaya	Kuala Lumpur		50603	MY	um-edu-my
University House, Kirby Corner Road	Coventry		CV4 8UW	GB	warwick-ac-uk
20 Synmonds Street	Auckland		1010	NZ	auckland-ac-nz
No.1, Sec.4, Roosevelt Road	Taipei		10617	TW	ntu-edu-tw
Tat Chee Avenue	Kowloon		Hong Kong	HK	cityu-edu-hk
Bâtiment Bréguet, 3 Rue Joliot-Curie	Palaiseau		91190	FR	universite-paris-saclay
35 Stirling Highway	Crawley		WA 6009	AU	uwa-edu-au
69 Brown Street	Providence	Rhode Island	02912	US	brown
Brinellvägen 8	Stockholm		114 28	SE	kth-se
Woodhouse Lane	Leeds		LS2 9JT	GB	leeds-ac-uk
University Avenue	Glasgow		G12 8QQ	GB	gla-ac-uk
50 Yonsei Road	Seodaemun-gu		03722	KR	yonsei-ac-kr
Stockton Road	Durham		DH1 3LE	GB	dur-ac-uk
145 Anam Road	Seongbuk-gu		02841	KR	korea-ac-kr
1-1 Yamadaoka, Suita	Osaka		565-0871	JP	osaka-u-ac-jp
Green Dublin 2	Dublin		DO2 PN40	IE	tcd-ie
University Road	Southampton		SO17 1BJ	GB	soton-ac-uk
201 Old Main	University Park	Pennsylvania	16802	US	psu-edu
Edgbaston	Birmingham		B15 2TT	GB	bham-ac-uk
Box 117	Lund		SE-221 00	SE	lu-se
Rua da Reitoria, Rua Cidade Universitária 374 - Butantá	São Paulo		05508-220	BR	uspedu-br
Ulitsa Kolmogorova, 1	Moscow		119991	RU	msu-ru
Grabengasse 1	Heidelberg		69117	DE	uni-heidelberg-de
132 Grenfell Street	Adelaide		SA 5000	AU	adelaide-edu-au
4 North Terrace	Adelaide		SA 5005	AU	adelaide-edu-au
638 Jones Street	Broadway	Ultimo NSW	2007	AU	uts-edu-au
2-12-1 Ookayama, Meguro-ku	Tokyo		152-8550	JP	titech-ac-jp
4259 Nagatsuta-cho	Midori-ku		226-8503	JP	titech-ac-jp
3-3-6 Shibaura, Minato-ku	Tokyo		108-0023	JP	titech-ac-jp
Rämistrasse 71	Zürich		CH-8006	CH	uzh-ch
233 Bay State Road	Boston	Massachusetts	02215	US	boston
Av. Universidad 3004, Cd. Universitaria	Coyoacán		04510	MX	unam-mx
Viamonte 430	Buenos Aires		C1053ABJ	AR	uba-ar
College Gate	Saint Andrews		KY16 9AJ	GB	st-andrews-ac-uk
225 North Avenue NW	Atlanta	Georgia	30332	US	gatech
Kaiserswerther Str. 16-18	Berlin		14195	DE	fu-berlin-de
610 Purdue Mall	West Lafayette	Indiana	47907	US	purdue-edu
77 Cheongam-Ro, Nam-Gu, Pohang	Gyeongsangbuk		37673	KR	postech-ac-kr
University Blvd	Nottingham		NG7 2RD	GB	nottingham-ac-uk
19 Nguyen Huu Tho Street, Tan Phong Ward	District 7		Ho Chi Minh City	VN	tdtu-edu-vn
Via VIII Febbraio, 2	Padova		35122	IT	unipd-it
Via Zamboni, 22	Bologna		40126	IT	unibo-it
